match_id,set_id,rally,player_A,player_B,score_A,score_B,winner,type,pressure_score,smasher,hit_x,hit_y,landing_x,landing_y
Mock_Match_1,1,1,Ginting,Christie,16,11,A,杀球,45,A,0,0,0,0
Mock_Match_1,1,2,Lee Zii Jia,Antonsen,20,16,A,网前球,55,None,0,0,0,0
Mock_Match_1,1,3,Ginting,Lakshya Sen,15,15,A,杀球,85,A,0,0,0,0
Mock_Match_1,1,4,Ginting,Axelsen,15,18,A,杀球,63,A,0,0,0,0
Mock_Match_1,1,5,Momota,Axelsen,16,17,A,失误,94,None,0,0,0,0
Mock_Match_1,1,6,Kodai,Axelsen,18,12,A,失误,82,None,0,0,0,0
Mock_Match_1,1,7,Momota,Lakshya Sen,15,13,A,杀球,82,A,0,0,0,0
Mock_Match_1,1,8,Ginting,Kodai,14,21,A,平抽,80,B,0,0,0,0
Mock_Match_1,1,9,Kunlavut,Antonsen,17,10,B,平抽,71,None,0,0,0,0
Mock_Match_1,1,10,Momota,Christie,13,20,B,失误,78,None,0,0,0,0
Mock_Match_1,1,11,Axelsen,Ginting,20,17,A,杀球,70,A,0,0,0,0
Mock_Match_1,1,12,Axelsen,Kunlavut,17,12,B,挑球,58,A,0,0,0,0
Mock_Match_1,1,13,Axelsen,Christie,14,15,B,吊球,68,None,0,0,0,0
Mock_Match_1,1,14,Lakshya Sen,Shi Yuqi,14,14,B,平抽,67,A,0,0,0,0
Mock_Match_1,1,15,Axelsen,Lakshya Sen,13,12,A,挑球,77,None,0,0,0,0
Mock_Match_1,1,16,Christie,Antonsen,16,18,A,网前球,60,None,0,0,0,0
Mock_Match_1,1,17,Christie,Lakshya Sen,10,20,B,失误,64,None,0,0,0,0
Mock_Match_1,1,18,Kodai,Kunlavut,18,21,A,吊球,62,None,0,0,0,0
Mock_Match_1,1,19,Kodai,Momota,16,15,A,网前球,71,None,0,0,0,0
Mock_Match_1,1,20,Ginting,Antonsen,16,19,A,杀球,57,A,0,0,0,0
Mock_Match_1,1,21,Christie,Ginting,13,13,B,吊球,73,None,0,0,0,0
Mock_Match_1,1,22,Lee Zii Jia,Momota,10,18,B,网前球,49,None,0,0,0,0
Mock_Match_1,1,23,Momota,Lakshya Sen,21,12,A,杀球,84,A,0,0,0,0
Mock_Match_1,1,24,Antonsen,Lee Zii Jia,10,10,A,吊球,87,None,0,0,0,0
Mock_Match_1,1,25,Ginting,Axelsen,19,13,B,杀球,94,B,0,0,0,0
Mock_Match_1,1,26,Momota,Lee Zii Jia,20,19,A,网前球,94,B,0,0,0,0
Mock_Match_1,1,27,Axelsen,Christie,20,13,A,挑球,91,None,0,0,0,0
Mock_Match_1,1,28,Axelsen,Shi Yuqi,13,16,A,杀球,65,A,0,0,0,0
Mock_Match_1,1,29,Christie,Momota,17,21,B,挑球,74,None,0,0,0,0
Mock_Match_1,1,30,Antonsen,Lee Zii Jia,20,17,B,失误,56,None,0,0,0,0
Mock_Match_1,1,31,Kodai,Christie,16,18,A,网前球,63,None,0,0,0,0
Mock_Match_1,1,32,Kodai,Ginting,17,12,A,失误,49,None,0,0,0,0
Mock_Match_1,1,33,Kunlavut,Kodai,12,20,B,吊球,50,None,0,0,0,0
Mock_Match_1,1,34,Momota,Antonsen,14,16,A,挑球,72,B,0,0,0,0
Mock_Match_1,1,35,Kunlavut,Momota,12,17,A,挑球,77,B,0,0,0,0
Mock_Match_1,1,36,Axelsen,Shi Yuqi,11,11,A,杀球,94,A,0,0,0,0
Mock_Match_1,1,37,Christie,Antonsen,16,21,A,网前球,82,None,0,0,0,0
